"","participant","fan","team","testType","testTime","PC"
"482",52,"BVB","BVB","Tor",2,1
"483",58,"BVB","BVB","Tor",2,0.666666666666667
"484",60,"BVB","BVB","Tor",2,0.875
"485",2,"FCB","BVB","Tor",2,1
"486",6,"FCB","BVB","Tor",2,0.666666666666667
"487",8,"FCB","BVB","Tor",2,0.875
"488",9,"FCB","BVB","Tor",2,0.5
"489",10,"FCB","BVB","Tor",2,0.666666666666667
"490",11,"FCB","BVB","Tor",2,1
"491",12,"FCB","BVB","Tor",2,1
"492",13,"FCB","BVB","Tor",2,1
"493",14,"FCB","BVB","Tor",2,0.857142857142857
"494",15,"FCB","BVB","Tor",2,1
"495",17,"FCB","BVB","Tor",2,1
"496",18,"FCB","BVB","Tor",2,1
"497",19,"FCB","BVB","Tor",2,0.666666666666667
"498",20,"FCB","BVB","Tor",2,0
"499",22,"FCB","BVB","Tor",2,0.666666666666667
"500",26,"FCB","BVB","Tor",2,0.5
"501",31,"FCB","BVB","Tor",2,1
"502",35,"FCB","BVB","Tor",2,1
"503",39,"FCB","BVB","Tor",2,1
"504",41,"FCB","BVB","Tor",2,0.857142857142857
"505",43,"FCB","BVB","Tor",2,0.5
"506",47,"FCB","BVB","Tor",2,1
"507",48,"FCB","BVB","Tor",2,0.8
"508",50,"FCB","BVB","Tor",2,1
"509",51,"FCB","BVB","Tor",2,0.875
"510",55,"FCB","BVB","Tor",2,0.666666666666667
"511",56,"FCB","BVB","Tor",2,1
"512",57,"FCB","BVB","Tor",2,0.444444444444444
"513",59,"FCB","BVB","Tor",2,0.777777777777778
"514",61,"FCB","BVB","Tor",2,0.875
"515",1,"BVB","FCB","Tor",2,0.714285714285714
"516",3,"BVB","FCB","Tor",2,0.888888888888889
"517",5,"BVB","FCB","Tor",2,1
"518",7,"BVB","FCB","Tor",2,0.888888888888889
"519",23,"BVB","FCB","Tor",2,1
"520",24,"BVB","FCB","Tor",2,0.857142857142857
"521",25,"BVB","FCB","Tor",2,1
"522",28,"BVB","FCB","Tor",2,0.888888888888889
"523",29,"BVB","FCB","Tor",2,0.75
"524",30,"BVB","FCB","Tor",2,0.9
"525",32,"BVB","FCB","Tor",2,0.6
"526",33,"BVB","FCB","Tor",2,0.857142857142857
"527",34,"BVB","FCB","Tor",2,0.7
"528",36,"BVB","FCB","Tor",2,0.6
"529",38,"BVB","FCB","Tor",2,1
"530",40,"BVB","FCB","Tor",2,0.666666666666667
"531",44,"BVB","FCB","Tor",2,0.8
"532",52,"BVB","FCB","Tor",2,0.875
"533",58,"BVB","FCB","Tor",2,0.875
"534",60,"BVB","FCB","Tor",2,0.727272727272727
